PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1338392,0.857ms,3.456ms,366.107ms,4625710.235ms,12.086ms,6.171ms,2.680ms,44864.853,96.349%
PAYMENT,1338446,0.461ms,1.991ms,117.222ms,2665299.103ms,6.361ms,4.020ms,1.439ms,31624.580,55.516%
DELIVERY,133726,1.642ms,8.537ms,119.099ms,1141676.754ms,55.599ms,16.816ms,6.767ms,72040.496,23.780%
SLEV,133386,1.268ms,5.830ms,571.155ms,777627.635ms,10.723ms,5.357ms,3.347ms,268257.901,16.197%
OSTAT,134306,0.347ms,1.105ms,105.202ms,148355.880ms,6.056ms,3.184ms,0.729ms,12117.377,3.090%
