PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,1079886,0.538ms,65.041ms,4105.978ms,70237236.334ms,726.899ms,248.171ms,23.419ms,1428566.921,119.474%
NEWORD,1078272,1.012ms,37.123ms,776.339ms,40028563.817ms,174.530ms,107.710ms,22.875ms,366675.057,68.089%
DELIVERY,107196,1.600ms,55.309ms,661.910ms,5928884.299ms,212.929ms,135.673ms,37.349ms,434411.557,10.085%
SLEV,107458,1.095ms,6.833ms,463.672ms,734305.664ms,32.353ms,12.805ms,5.582ms,74905.045,1.249%
OSTAT,108144,0.339ms,5.730ms,492.162ms,619727.270ms,43.488ms,14.639ms,3.524ms,89344.689,1.054%
