PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1405986,0.889ms,12.003ms,412.402ms,16876400.218ms,79.307ms,27.629ms,8.572ms,140934.886,88.363%
PAYMENT,1405058,0.544ms,11.970ms,1023.782ms,16818978.426ms,88.704ms,30.299ms,7.683ms,186079.985,88.062%
DELIVERY,140594,1.257ms,21.389ms,372.296ms,3007178.789ms,98.300ms,72.922ms,15.516ms,197267.834,15.745%
SLEV,141190,1.374ms,4.649ms,1000.304ms,656395.097ms,10.987ms,7.216ms,4.214ms,62125.330,3.437%
OSTAT,140452,0.329ms,3.229ms,243.434ms,453539.815ms,14.688ms,8.761ms,2.275ms,34721.430,2.375%
