PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,989768,0.519ms,36.865ms,2855.344ms,36488251.898ms,322.671ms,124.378ms,17.612ms,692738.565,96.635%
NEWORD,989060,0.933ms,31.647ms,648.708ms,31300641.101ms,158.608ms,98.580ms,19.645ms,335631.941,82.897%
DELIVERY,98312,1.365ms,53.242ms,534.107ms,5234343.501ms,213.009ms,133.340ms,35.716ms,434888.591,13.863%
SLEV,98840,1.164ms,20.077ms,1508.227ms,1984387.301ms,637.813ms,26.239ms,5.487ms,939801.319,5.255%
OSTAT,98748,0.324ms,5.261ms,503.826ms,519483.493ms,30.077ms,13.583ms,3.364ms,78139.170,1.376%
