Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
3,1.23,228.35,11.8GB / 63.9MB,0.00,16,8
3,17.00,229.37,11.8GB / 63.9MB,0.00,16,8
3,24.70,231.42,11.8GB / 64MB,0.00,16,8
4,8.42,232.45,11.8GB / 64MB,0.00,16,8
4,14.41,233.47,11.8GB / 64.1MB,0.00,16,8
4,21.33,234.49,11.8GB / 64.1MB,0.00,16,8
4,1.02,234.49,11.8GB / 64.1MB,51.20,16,8
4,0.84,234.49,11.8GB / 64.1MB,0.00,16,8
4,0.76,234.49,11.8GB / 64.1MB,0.00,16,8
4,0.35,234.49,11.8GB / 64.1MB,0.00,16,8
4,8.59,235.52,11.8GB / 64.1MB,0.00,16,8
4,16.30,235.52,11.8GB / 64.2MB,0.00,16,8
4,22.49,236.54,11.8GB / 64.2MB,0.00,16,8
4,14.67,237.57,11.8GB / 64.2MB,0.00,16,8
4,12.81,238.59,11.8GB / 64.3MB,0.00,16,8
4,16.33,239.61,11.8GB / 64.3MB,0.00,16,8
4,18.00,240.64,11.8GB / 64.3MB,0.00,16,8
4,12.91,240.64,11.8GB / 64.4MB,0.00,16,8
4,8.60,241.66,11.8GB / 64.4MB,0.00,16,8
4,12.26,242.69,11.8GB / 64.4MB,0.00,16,8
4,12.02,243.71,11.8GB / 64.4MB,0.00,16,8
4,2.90,243.71,11.8GB / 64.4MB,0.00,16,8
4,23.68,244.73,11.8GB / 64.5MB,51.20,16,8
4,19.06,245.76,11.8GB / 64.5MB,0.00,16,8
4,23.17,246.78,11.8GB / 64.6MB,0.00,16,8
4,10.21,249.85,11.8GB / 64.6MB,0.00,17,8
4,1.26,249.85,11.8GB / 64.6MB,51.20,17,8
4,24.41,248.83,11.8GB / 64.6MB,0.00,16,8
4,22.06,249.85,11.8GB / 64.7MB,0.00,16,8
4,14.94,250.88,11.8GB / 64.7MB,0.00,16,8
4,23.35,250.88,11.8GB / 64.8MB,51.20,16,8
4,24.33,252.93,11.8GB / 64.8MB,0.00,16,8
4,0.90,252.93,11.8GB / 64.9MB,0.00,16,8
5,22.08,253.95,11.8GB / 64.9MB,0.00,16,8
5,1.36,254.97,11.8GB / 64.9MB,51.20,16,8
5,23.97,254.97,11.8GB / 64.9MB,0.00,16,8
5,15.02,256.00,11.8GB / 65MB,0.00,16,8
5,16.38,257.02,11.8GB / 65MB,0.00,16,8
5,18.38,258.05,11.8GB / 65MB,51.20,16,8
