PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1856630,0.730ms,2.168ms,131.464ms,4025323.935ms,3.402ms,2.999ms,2.121ms,1272.903,83.996%
PAYMENT,1859898,0.438ms,1.381ms,130.578ms,2568902.575ms,2.068ms,1.812ms,1.342ms,1079.165,53.605%
SLEV,185772,1.154ms,8.575ms,533.167ms,1593114.196ms,26.572ms,23.731ms,3.823ms,9799.945,33.243%
DELIVERY,185946,1.671ms,3.968ms,82.859ms,737920.495ms,6.686ms,5.656ms,3.945ms,1416.249,15.398%
OSTAT,185998,0.347ms,1.022ms,5.650ms,190215.272ms,1.523ms,1.395ms,1.012ms,207.223,3.969%
