PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1422396,1.073ms,26.020ms,1722.107ms,37010900.943ms,251.760ms,110.303ms,9.704ms,52266.461,98.157%
PAYMENT,1427584,0.554ms,22.649ms,2267.956ms,32334045.202ms,262.715ms,108.190ms,6.549ms,54580.005,85.753%
DELIVERY,141984,1.742ms,32.557ms,1405.841ms,4622683.247ms,259.795ms,116.922ms,14.418ms,54191.154,12.260%
SLEV,142366,1.462ms,5.370ms,383.799ms,764548.708ms,10.847ms,7.289ms,5.210ms,2477.757,2.028%
OSTAT,143030,0.496ms,1.368ms,109.218ms,195743.335ms,2.159ms,1.807ms,1.324ms,534.170,0.519%
