PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1499140,1.189ms,12.735ms,8642.094ms,19092883.410ms,123.390ms,46.560ms,5.106ms,43559.781,99.969%
PAYMENT,1499174,0.664ms,10.138ms,8649.281ms,15200069.870ms,119.129ms,36.361ms,2.965ms,51372.183,79.587%
DELIVERY,150178,1.697ms,17.149ms,8641.982ms,2575448.429ms,129.679ms,62.537ms,8.682ms,53722.711,13.485%
SLEV,150852,1.550ms,4.679ms,59.345ms,705960.137ms,6.863ms,6.045ms,4.631ms,988.472,3.696%
OSTAT,150408,0.554ms,1.251ms,6.475ms,188233.179ms,1.797ms,1.601ms,1.225ms,216.011,0.986%
