PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1905472,0.985ms,5.076ms,1753.431ms,9673301.487ms,37.818ms,8.459ms,3.433ms,11527.326,101.019%
PAYMENT,1904434,0.600ms,3.399ms,1476.788ms,6474183.504ms,34.793ms,6.232ms,1.914ms,10283.830,67.610%
DELIVERY,191456,2.089ms,8.175ms,1477.370ms,1565166.864ms,43.186ms,12.320ms,6.643ms,10478.222,16.345%
SLEV,190002,1.331ms,4.045ms,56.055ms,768696.625ms,5.941ms,5.160ms,4.045ms,860.226,8.028%
OSTAT,190956,0.387ms,1.184ms,5.401ms,226157.327ms,1.641ms,1.514ms,1.168ms,193.265,2.362%
