PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1513522,1.105ms,24.171ms,1354.896ms,36583424.178ms,186.005ms,116.573ms,8.657ms,49491.286,97.752%
PAYMENT,1511930,0.581ms,21.541ms,1504.981ms,32569427.069ms,216.291ms,115.642ms,5.332ms,51954.499,87.026%
DELIVERY,151676,1.339ms,30.090ms,1354.596ms,4564070.954ms,188.319ms,123.684ms,13.313ms,49371.187,12.195%
SLEV,151294,1.566ms,5.384ms,63.228ms,814605.125ms,10.413ms,7.129ms,5.264ms,1397.161,2.177%
OSTAT,151986,0.338ms,1.343ms,9.222ms,204210.427ms,2.118ms,1.787ms,1.306ms,330.273,0.546%
