PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1194148,0.888ms,15.859ms,957.640ms,18938815.232ms,145.153ms,67.554ms,5.437ms,35802.831,99.702%
PAYMENT,1194320,0.493ms,12.932ms,1062.567ms,15445069.850ms,142.157ms,53.915ms,3.080ms,34830.507,81.310%
DELIVERY,119388,2.039ms,21.786ms,957.488ms,2601026.716ms,154.180ms,91.531ms,10.209ms,38383.827,13.693%
SLEV,120240,1.389ms,4.709ms,60.475ms,566261.982ms,7.009ms,6.113ms,4.656ms,1015.789,2.981%
OSTAT,119168,0.342ms,1.249ms,18.451ms,148934.238ms,1.816ms,1.608ms,1.221ms,250.310,0.784%
