PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,927714,1.186ms,19.890ms,1157.186ms,18452140.801ms,162.121ms,85.583ms,7.709ms,334714.973,95.983%
SLEV,92606,1.005ms,106.790ms,2971.878ms,9889399.090ms,581.820ms,401.648ms,27.172ms,1471368.048,51.442%
PAYMENT,926984,0.513ms,6.789ms,600.966ms,6292954.285ms,74.878ms,20.952ms,2.765ms,148319.720,32.734%
DELIVERY,93380,1.062ms,35.703ms,835.275ms,3333950.364ms,218.047ms,122.108ms,18.435ms,443695.183,17.342%
OSTAT,92402,0.338ms,2.773ms,378.162ms,256270.922ms,29.553ms,7.659ms,1.129ms,82189.640,1.333%
