PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,954858,1.164ms,42.304ms,2054.364ms,40394175.621ms,385.683ms,193.044ms,11.044ms,791572.715,105.696%
SLEV,95092,1.372ms,196.122ms,2008.565ms,18649672.508ms,935.922ms,665.575ms,102.868ms,2333157.097,48.799%
PAYMENT,958188,0.556ms,11.077ms,2410.957ms,10613648.888ms,141.630ms,50.221ms,2.497ms,317117.950,27.772%
DELIVERY,95204,1.541ms,62.399ms,2153.278ms,5940646.229ms,427.112ms,244.778ms,24.464ms,901931.054,15.544%
OSTAT,95728,0.291ms,5.011ms,799.272ms,479710.640ms,85.009ms,14.077ms,1.075ms,214701.744,1.255%
