PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1176444,1.100ms,4.337ms,483.853ms,5102583.326ms,24.217ms,6.356ms,3.503ms,68053.985,106.089%
PAYMENT,1176280,0.509ms,1.961ms,479.473ms,2306265.196ms,5.991ms,3.304ms,1.436ms,43936.282,47.950%
DELIVERY,116968,2.257ms,9.439ms,485.317ms,1104089.606ms,62.922ms,15.346ms,7.485ms,107848.051,22.955%
SLEV,117894,1.120ms,6.426ms,4948.235ms,757614.005ms,28.865ms,5.576ms,3.100ms,822303.005,15.752%
OSTAT,118334,0.330ms,1.117ms,286.810ms,132126.964ms,6.271ms,3.009ms,0.728ms,17415.542,2.747%
