PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1756926,0.838ms,2.444ms,327.449ms,4294087.173ms,4.837ms,3.479ms,2.318ms,2069.504,89.633%
PAYMENT,1760174,0.462ms,1.489ms,324.428ms,2621889.176ms,4.387ms,2.002ms,1.353ms,1971.291,54.728%
SLEV,176308,1.175ms,7.230ms,54.270ms,1274854.894ms,26.655ms,23.135ms,3.383ms,6900.527,26.611%
DELIVERY,175808,1.761ms,4.303ms,323.373ms,756618.080ms,7.915ms,6.287ms,4.131ms,2556.423,15.793%
OSTAT,174490,0.403ms,1.056ms,63.496ms,184398.980ms,1.652ms,1.495ms,1.033ms,314.715,3.849%
