PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1218440,0.938ms,15.707ms,9099.341ms,19138223.206ms,169.117ms,46.682ms,5.925ms,79318.383,100.783%
PAYMENT,1221778,0.378ms,12.104ms,9099.305ms,14788965.907ms,156.693ms,40.781ms,2.986ms,74252.518,77.880%
DELIVERY,121112,2.187ms,22.147ms,9104.051ms,2682342.052ms,191.194ms,63.281ms,11.356ms,69070.070,14.125%
SLEV,122540,1.507ms,7.508ms,115.070ms,920131.556ms,14.060ms,12.414ms,7.851ms,3507.908,4.845%
OSTAT,122018,0.308ms,1.305ms,61.085ms,159327.918ms,2.017ms,1.748ms,1.250ms,540.902,0.839%
