PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1766404,0.683ms,5.492ms,1509.125ms,9701938.333ms,49.646ms,7.363ms,3.327ms,18113.820,100.775%
PAYMENT,1766180,0.288ms,3.690ms,1438.327ms,6518830.194ms,42.734ms,5.066ms,1.811ms,17097.641,67.712%
DELIVERY,178094,1.397ms,8.746ms,1508.997ms,1557712.722ms,59.976ms,14.432ms,6.151ms,20962.231,16.180%
SLEV,176850,1.029ms,4.616ms,80.605ms,816467.419ms,10.846ms,9.446ms,3.906ms,2396.302,8.481%
OSTAT,176520,0.238ms,1.187ms,78.546ms,209586.748ms,1.776ms,1.614ms,1.149ms,825.202,2.177%
