PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1233980,1.094ms,30.613ms,1841.181ms,37776175.747ms,294.512ms,132.026ms,12.720ms,65000.064,100.284%
PAYMENT,1233916,0.492ms,25.260ms,1843.926ms,31168853.409ms,286.959ms,124.752ms,8.655ms,63103.581,82.743%
DELIVERY,123388,2.298ms,39.191ms,1841.153ms,4835740.623ms,310.762ms,142.104ms,19.054ms,70449.173,12.837%
SLEV,123642,1.347ms,9.337ms,410.384ms,1154456.632ms,20.176ms,14.246ms,9.569ms,6660.610,3.065%
OSTAT,123914,0.432ms,1.442ms,90.544ms,178755.135ms,3.011ms,1.980ms,1.343ms,1236.540,0.475%
