TPM,time
0,0
123774,10
170316,20
171414,30
174612,40
174030,50
184350,60
160218,70
121830,80
119142,90
169434,100
164490,110
161502,120
156672,130
156462,140
161664,150
165372,160
162618,170
173232,180
158124,190
131220,200
102702,210
79686,220
71628,230
74370,240
68916,250
62388,260
114690,270
143004,280
153072,290
150690,300
149598,310
142674,320
143856,330
148656,340
152844,350
133374,360
124566,370
118152,380
106590,390
95256,400
91992,410
89994,420
81294,430
93816,440
154368,450
137154,460
145686,470
144750,480
118218,490
140898,500
133278,510
146490,520
141732,530
148710,540
149862,550
152214,560
137448,570
139092,580
151362,590
111972,600
