Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
0,100.62,0.00,11.8GB / 65.1MB,0.00,10,8
0,332.49,70.65,11.8GB / 65.5MB,102.40,14,8
0,480.47,181.25,11.8GB / 66.3MB,153.60,16,8
0,480.80,272.38,11.8GB / 67.2MB,204.80,16,8
0,249.20,312.32,11.8GB / 67.7MB,409.60,16,8
0,47.13,322.56,11.8GB / 67.9MB,51.20,16,8
0,78.93,322.56,11.8GB / 68MB,0.00,16,8
0,431.76,347.13,11.8GB / 68.6MB,102.40,16,8
0,492.61,378.88,11.8GB / 69.4MB,102.40,16,8
0,509.20,405.50,11.8GB / 70.4MB,51.20,16,8
0,542.53,425.98,11.8GB / 71.5MB,409.60,16,8
0,478.39,438.27,11.8GB / 72.3MB,102.40,16,8
0,509.18,450.56,11.8GB / 73.3MB,102.40,16,8
0,523.54,463.87,11.8GB / 74.6MB,102.40,16,8
0,545.22,475.13,11.8GB / 75.7MB,358.40,16,8
0,475.96,482.30,11.8GB / 76.6MB,102.40,16,8
1,508.32,491.52,11.8GB / 77.6MB,102.40,16,8
1,525.48,499.71,11.8GB / 78.8MB,102.40,16,8
1,549.04,509.95,11.8GB / 79.9MB,358.40,16,8
1,466.90,518.14,11.8GB / 80.8MB,102.40,16,8
1,508.63,523.26,11.8GB / 81.8MB,102.40,16,8
1,521.42,532.48,11.8GB / 83.1MB,102.40,16,8
1,555.48,543.74,11.8GB / 84.3MB,204.80,17,8
1,489.46,559.10,11.8GB / 85.3MB,256.00,17,8
1,512.21,576.51,11.8GB / 86.1MB,102.40,17,8
1,541.03,589.82,11.8GB / 87.3MB,102.40,17,8
1,545.33,601.09,11.8GB / 88.5MB,153.60,17,8
1,515.60,611.33,11.8GB / 89.5MB,358.40,17,8
1,528.72,621.57,11.8GB / 90.5MB,102.40,17,8
1,542.53,631.81,11.8GB / 91.7MB,102.40,17,8
1,542.07,645.12,11.8GB / 92.9MB,102.40,17,8
1,520.50,658.43,11.8GB / 93.9MB,512.00,17,8
1,528.18,671.74,11.8GB / 94.8MB,102.40,17,8
1,541.08,684.03,11.8GB / 95.9MB,102.40,17,8
1,545.24,699.39,11.8GB / 97.1MB,153.60,17,8
1,506.43,711.68,11.8GB / 98.1MB,256.00,17,8
1,525.87,722.94,11.8GB / 99MB,153.60,17,8
1,538.47,737.28,11.8GB / 100MB,102.40,17,8
1,562.45,752.64,11.8GB / 101MB,136.53,17,8
1,505.87,764.93,11.8GB / 102MB,358.40,17,8
1,530.94,778.24,11.8GB / 103MB,102.40,17,8
1,541.79,794.62,11.9GB / 105MB,102.40,17,8
1,561.95,808.96,11.9GB / 106MB,307.20,17,8
1,506.48,821.25,11.9GB / 107MB,204.80,17,8
1,535.58,834.56,11.9GB / 108MB,102.40,17,8
2,538.54,847.87,11.9GB / 109MB,102.40,17,8
2,571.25,863.23,11.9GB / 110MB,409.60,17,8
2,511.73,873.47,11.9GB / 111MB,102.40,17,8
2,532.82,885.76,11.9GB / 112MB,102.40,17,8
2,539.07,901.12,11.9GB / 113MB,102.40,17,8
2,564.96,914.43,11.9GB / 115MB,460.80,17,8
2,514.97,925.69,11.9GB / 116MB,102.40,17,8
2,540.61,940.03,11.9GB / 117MB,102.40,17,8
2,542.12,953.34,11.9GB / 118MB,102.40,17,8
2,541.85,966.65,11.9GB / 119MB,460.80,17,8
2,520.19,978.94,11.9GB / 120MB,153.60,17,8
2,538.48,992.25,11.9GB / 121MB,102.40,17,8
2,534.37,1005.57,11.9GB / 122MB,102.40,17,8
2,529.93,1019.90,11.9GB / 123MB,409.60,17,8
2,523.40,1031.17,11.9GB / 124MB,102.40,17,8
2,541.71,1044.48,11.9GB / 125MB,153.60,17,8
2,536.00,1059.84,11.9GB / 127MB,102.40,17,8
2,511.37,1072.13,11.9GB / 128MB,358.40,17,8
2,527.09,1084.41,11.9GB / 129MB,153.60,17,8
2,542.78,1099.77,11.9GB / 130MB,102.40,17,8
2,557.37,1114.11,11.9GB / 131MB,307.20,17,8
2,504.43,1127.42,11.9GB / 132MB,256.00,17,8
2,528.14,1138.69,11.9GB / 133MB,102.40,17,8
2,541.96,1153.02,11.9GB / 134MB,102.40,17,8
2,563.23,1168.38,11.9GB / 135MB,460.80,17,8
2,510.64,1179.65,11.9GB / 136MB,102.40,17,8
2,534.03,1191.93,11.9GB / 138MB,153.60,17,8
2,541.81,1207.29,11.9GB / 139MB,102.40,17,8
2,578.12,1221.63,11.9GB / 140MB,409.60,17,8
2,517.02,1231.87,11.9GB / 141MB,102.40,17,8
3,533.38,1243.13,11.9GB / 142MB,153.60,17,8
3,555.95,1259.52,11.9GB / 143MB,102.40,17,8
3,595.64,1277.95,11.9GB / 145MB,409.60,17,8
3,565.98,1287.17,11.9GB / 145MB,153.60,17,8
3,576.87,1302.53,11.9GB / 147MB,102.40,17,8
3,584.87,1316.86,11.9GB / 148MB,102.40,17,8
3,558.06,1330.17,11.9GB / 149MB,358.40,17,8
3,521.69,1449.98,11.9GB / 150MB,102.40,18,8
3,533.01,1532.93,11.9GB / 151MB,153.60,18,8
3,546.72,1548.29,11.9GB / 151MB,460.80,18,8
3,533.55,1560.57,11.9GB / 152MB,153.60,18,8
3,528.67,1686.53,11.9GB / 153MB,512.00,25,8
3,19.17,1682.43,11.9GB / 153MB,0.00,25,8
3,128.09,1716.22,11.9GB / 153MB,51.20,24,8
3,191.51,1674.24,11.9GB / 153MB,51.20,20,8
3,86.91,1659.90,11.9GB / 153MB,0.00,18,8
3,253.28,1705.98,11.9GB / 153MB,51.20,21,8
3,1362.65,1732.61,11.9GB / 153MB,0.00,21,8
3,1433.71,1766.40,11.9GB / 153MB,51.20,21,8
3,1393.51,1774.59,11.9GB / 153MB,0.00,22,8
3,1392.72,1768.45,11.9GB / 153MB,0.00,21,8
3,1432.11,1768.45,11.9GB / 153MB,0.00,21,8
3,1437.83,1760.25,11.9GB / 153MB,0.00,21,8
3,1426.71,1797.12,11.9GB / 153MB,51.20,23,8
3,1432.93,1798.14,11.9GB / 153MB,0.00,23,8
3,1393.27,1792.00,11.9GB / 153MB,0.00,23,8
3,1396.38,1798.14,11.9GB / 153MB,0.00,23,8
3,1450.66,1799.17,11.9GB / 154MB,0.00,23,8
3,1433.89,1786.88,11.9GB / 154MB,0.00,22,8
3,1416.00,1773.57,11.9GB / 154MB,51.20,21,8
4,1402.09,1773.57,11.9GB / 154MB,0.00,21,8
4,1431.20,1773.57,11.9GB / 154MB,0.00,21,8
4,1369.84,1803.26,11.9GB / 154MB,0.00,23,8
4,1414.92,1770.49,11.9GB / 154MB,0.00,21,8
4,1429.10,1804.29,11.9GB / 154MB,0.00,23,8
4,1371.89,1776.64,11.9GB / 154MB,51.20,21,8
4,1460.22,1777.66,11.9GB / 154MB,0.00,21,8
4,475.43,1713.15,11.9GB / 155MB,102.40,16,8
4,508.67,1718.27,11.9GB / 156MB,307.20,16,8
4,501.29,1723.39,11.9GB / 157MB,153.60,16,8
4,519.13,1730.56,11.9GB / 158MB,102.40,16,8
4,538.14,1738.75,11.9GB / 160MB,358.40,16,8
4,495.53,1744.89,11.9GB / 161MB,153.60,16,8
4,517.28,1752.06,11.9GB / 162MB,102.40,16,8
4,520.79,1760.25,11.9GB / 163MB,102.40,16,8
4,545.81,1768.45,11.9GB / 164MB,358.40,16,8
4,500.58,1774.59,11.9GB / 165MB,102.40,16,8
4,517.66,1780.73,11.9GB / 166MB,102.40,16,8
4,525.33,1787.90,11.9GB / 167MB,102.40,16,8
4,517.99,1796.09,11.9GB / 169MB,307.20,16,8
4,504.82,1801.21,11.9GB / 170MB,153.60,16,8
4,523.83,1807.36,11.9GB / 171MB,102.40,16,8
4,515.39,1815.55,11.9GB / 172MB,51.20,16,8
4,513.84,1823.74,11.9GB / 173MB,358.40,16,8
4,510.45,1828.86,11.9GB / 174MB,153.60,16,8
4,521.61,1836.03,11.9GB / 175MB,102.40,16,8
4,529.46,1844.22,11.9GB / 176MB,102.40,16,8
4,499.25,1850.37,11.9GB / 178MB,238.93,16,8
4,511.45,1855.49,11.9GB / 179MB,102.40,16,8
4,522.25,1862.65,11.9GB / 180MB,102.40,16,8
5,536.60,1869.82,11.9GB / 181MB,307.20,16,8
5,493.92,1875.97,11.9GB / 182MB,204.80,16,8
5,510.58,1881.09,11.9GB / 183MB,102.40,16,8
5,523.17,1888.25,11.9GB / 184MB,102.40,16,8
5,509.53,1894.40,11.9GB / 185MB,307.20,16,8
5,508.89,1899.52,11.9GB / 186MB,102.40,16,8
5,536.81,1937.41,11.9GB / 187MB,102.40,17,8
5,581.89,2067.45,11.9GB / 188MB,409.60,17,8
5,504.29,2043.90,11.9GB / 189MB,102.40,17,8
5,526.05,2052.09,11.9GB / 190MB,153.60,17,8
5,568.36,2063.36,11.9GB / 192MB,307.20,17,8
5,540.34,2106.37,11.9GB / 193MB,153.60,17,8
5,535.22,2279.42,11.9GB / 194MB,153.60,16,8
5,515.69,2288.64,11.9GB / 195MB,102.40,16,8
5,544.25,2296.83,11.9GB / 196MB,358.40,16,8
5,496.63,2302.97,11.9GB / 197MB,102.40,16,8
5,518.56,2312.19,11.9GB / 198MB,153.60,16,8
5,525.56,2321.41,11.9GB / 199MB,51.20,16,8
5,520.41,2328.57,11.9GB / 201MB,409.60,16,8
5,504.44,2335.74,11.9GB / 201MB,102.40,16,8
5,518.67,2345.98,11.9GB / 203MB,102.40,16,8
5,524.72,2355.20,11.9GB / 204MB,102.40,16,8
5,489.95,2361.34,11.9GB / 205MB,153.60,16,8
5,508.44,2369.53,11.9GB / 206MB,512.00,16,8
5,520.33,2376.70,11.9GB / 207MB,0.00,16,8
5,548.76,2386.94,11.9GB / 209MB,0.00,16,8
5,491.35,2396.16,11.9GB / 210MB,512.00,16,8
