Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717890294,136.26%,2.618GiB / 125.8GiB,7.04GB / 20.7MB,377kB / 18.4GB,42
1717890296,133.69%,2.625GiB / 125.8GiB,7.07GB / 20.8MB,377kB / 18.4GB,42
1717890298,40.67%,2.628GiB / 125.8GiB,7.1GB / 20.9MB,377kB / 18.5GB,42
1717890300,3.67%,2.629GiB / 125.8GiB,7.12GB / 20.9MB,377kB / 18.5GB,42
1717890302,129.28%,2.63GiB / 125.8GiB,7.13GB / 21MB,377kB / 18.5GB,42
1717890304,142.10%,2.633GiB / 125.8GiB,7.16GB / 21MB,377kB / 18.6GB,42
1717890306,95.93%,2.638GiB / 125.8GiB,7.19GB / 21.1MB,377kB / 18.6GB,42
1717890308,137.59%,2.649GiB / 125.8GiB,7.23GB / 21.2MB,377kB / 18.7GB,42
1717890310,107.99%,2.733GiB / 125.8GiB,7.26GB / 21.3MB,377kB / 18.7GB,42
1717890312,165.19%,2.735GiB / 125.8GiB,7.3GB / 21.4MB,377kB / 18.7GB,42
1717890314,130.58%,2.737GiB / 125.8GiB,7.34GB / 21.5MB,377kB / 18.8GB,41
1717890316,125.60%,2.739GiB / 125.8GiB,7.37GB / 21.6MB,377kB / 18.8GB,41
1717890318,165.29%,2.743GiB / 125.8GiB,7.4GB / 21.7MB,377kB / 18.9GB,41
1717890320,47.95%,2.747GiB / 125.8GiB,7.43GB / 21.8MB,377kB / 18.9GB,41
1717890322,98.80%,2.75GiB / 125.8GiB,7.45GB / 21.8MB,377kB / 19GB,41
1717890324,116.69%,2.753GiB / 125.8GiB,7.47GB / 21.9MB,377kB / 19GB,41
1717890326,39.64%,2.755GiB / 125.8GiB,7.48GB / 21.9MB,377kB / 19.1GB,41
1717890328,134.76%,2.76GiB / 125.8GiB,7.51GB / 22MB,377kB / 19.1GB,41
1717890330,69.16%,2.762GiB / 125.8GiB,7.53GB / 22.1MB,377kB / 19.2GB,41
1717890332,125.16%,2.763GiB / 125.8GiB,7.54GB / 22.1MB,377kB / 19.2GB,41
1717890334,104.09%,2.764GiB / 125.8GiB,7.56GB / 22.2MB,377kB / 19.2GB,41
1717890336,147.57%,2.767GiB / 125.8GiB,7.57GB / 22.2MB,377kB / 19.3GB,41
1717890338,60.71%,2.771GiB / 125.8GiB,7.59GB / 22.3MB,377kB / 19.3GB,41
1717890340,1.36%,2.772GiB / 125.8GiB,7.6GB / 22.3MB,377kB / 19.4GB,41
1717890342,104.26%,2.774GiB / 125.8GiB,7.62GB / 22.3MB,377kB / 19.4GB,41
1717890344,33.87%,2.776GiB / 125.8GiB,7.63GB / 22.4MB,377kB / 19.4GB,41
1717890346,57.21%,2.779GiB / 125.8GiB,7.65GB / 22.4MB,377kB / 19.5GB,41
1717890348,131.28%,2.783GiB / 125.8GiB,7.68GB / 22.5MB,377kB / 19.5GB,41
1717890350,142.99%,2.785GiB / 125.8GiB,7.69GB / 22.5MB,377kB / 19.6GB,41
1717890352,159.57%,2.793GiB / 125.8GiB,7.71GB / 22.6MB,377kB / 19.6GB,42
1717890354,182.83%,2.799GiB / 125.8GiB,7.74GB / 22.7MB,377kB / 19.7GB,42
1717890356,151.33%,2.812GiB / 125.8GiB,7.77GB / 22.8MB,377kB / 19.8GB,42
1717890358,148.96%,2.818GiB / 125.8GiB,7.81GB / 22.9MB,377kB / 19.9GB,42
1717890360,53.78%,2.819GiB / 125.8GiB,7.83GB / 23MB,377kB / 20GB,42
1717890362,2.39%,2.819GiB / 125.8GiB,7.85GB / 23MB,377kB / 20GB,42
1717890364,47.51%,2.821GiB / 125.8GiB,7.86GB / 23.1MB,377kB / 20.2GB,42
1717890366,89.39%,2.822GiB / 125.8GiB,7.88GB / 23.1MB,377kB / 20.3GB,42
1717890368,136.76%,2.823GiB / 125.8GiB,7.91GB / 23.2MB,377kB / 20.4GB,42
1717890370,113.02%,2.824GiB / 125.8GiB,7.92GB / 23.3MB,377kB / 20.4GB,42
1717890372,141.63%,2.826GiB / 125.8GiB,7.94GB / 23.3MB,377kB / 20.6GB,42
1717890374,97.90%,2.827GiB / 125.8GiB,7.96GB / 23.4MB,377kB / 20.7GB,42
1717890376,95.79%,2.828GiB / 125.8GiB,7.97GB / 23.4MB,377kB / 20.7GB,42
1717890378,174.34%,2.839GiB / 125.8GiB,8.01GB / 23.6MB,377kB / 20.8GB,42
1717890380,159.80%,2.883GiB / 125.8GiB,8.04GB / 23.7MB,377kB / 20.8GB,42
1717890382,74.37%,2.884GiB / 125.8GiB,8.07GB / 23.8MB,377kB / 20.8GB,42
1717890384,242.02%,2.889GiB / 125.8GiB,8.09GB / 23.9MB,377kB / 20.9GB,42
1717890386,215.89%,2.881GiB / 125.8GiB,8.12GB / 24.1MB,377kB / 20.9GB,42
1717890388,179.64%,2.875GiB / 125.8GiB,8.13GB / 24.2MB,377kB / 21GB,42
1717890390,89.50%,2.873GiB / 125.8GiB,8.14GB / 24.2MB,377kB / 21GB,42
1717890392,214.23%,2.911GiB / 125.8GiB,8.15GB / 24.4MB,377kB / 21GB,42
1717890394,309.71%,2.92GiB / 125.8GiB,8.16GB / 24.5MB,377kB / 21.1GB,41
1717890396,102.28%,2.921GiB / 125.8GiB,8.17GB / 24.6MB,377kB / 21.1GB,41
1717890398,154.33%,3.02GiB / 125.8GiB,8.18GB / 24.7MB,377kB / 21.1GB,41
1717890400,169.99%,3.021GiB / 125.8GiB,8.19GB / 24.8MB,377kB / 21.1GB,41
1717890402,278.82%,3.023GiB / 125.8GiB,8.21GB / 25MB,377kB / 21.2GB,41
1717890404,258.51%,3.035GiB / 125.8GiB,8.23GB / 25.2MB,377kB / 21.2GB,41
1717890406,119.99%,3.059GiB / 125.8GiB,8.24GB / 25.4MB,377kB / 21.3GB,41
1717890408,147.47%,3.057GiB / 125.8GiB,8.25GB / 25.4MB,377kB / 21.3GB,40
1717890410,203.09%,3.096GiB / 125.8GiB,8.26GB / 25.5MB,377kB / 21.3GB,40
1717890412,142.89%,3.127GiB / 125.8GiB,8.28GB / 25.6MB,377kB / 21.4GB,41
1717890414,203.14%,3.161GiB / 125.8GiB,8.29GB / 25.8MB,377kB / 21.4GB,41
1717890416,97.58%,3.184GiB / 125.8GiB,8.3GB / 25.9MB,377kB / 21.4GB,41
1717890418,168.52%,3.207GiB / 125.8GiB,8.31GB / 26MB,377kB / 21.4GB,41
1717890420,201.99%,3.216GiB / 125.8GiB,8.31GB / 26.1MB,377kB / 21.5GB,41
1717890422,136.25%,3.24GiB / 125.8GiB,8.32GB / 26.2MB,377kB / 21.5GB,41
1717890424,184.82%,3.262GiB / 125.8GiB,8.33GB / 26.3MB,377kB / 21.5GB,41
1717890426,214.84%,3.286GiB / 125.8GiB,8.35GB / 26.4MB,377kB / 21.6GB,41
1717890428,237.60%,3.382GiB / 125.8GiB,8.37GB / 26.6MB,377kB / 21.6GB,41
1717890430,216.50%,3.457GiB / 125.8GiB,8.38GB / 26.7MB,377kB / 21.6GB,41
1717890432,220.85%,3.481GiB / 125.8GiB,8.39GB / 26.9MB,377kB / 21.7GB,41
1717890434,232.77%,3.515GiB / 125.8GiB,8.41GB / 27MB,377kB / 21.7GB,40
1717890436,186.25%,3.568GiB / 125.8GiB,8.42GB / 27.2MB,377kB / 21.7GB,40
1717890438,204.75%,3.581GiB / 125.8GiB,8.44GB / 27.3MB,377kB / 21.8GB,40
1717890440,217.03%,3.588GiB / 125.8GiB,8.45GB / 27.5MB,377kB / 21.8GB,40
1717890442,192.98%,3.595GiB / 125.8GiB,8.47GB / 27.6MB,377kB / 21.8GB,40
1717890444,184.78%,3.602GiB / 125.8GiB,8.48GB / 27.8MB,377kB / 21.9GB,40
1717890446,143.16%,3.607GiB / 125.8GiB,8.49GB / 27.9MB,377kB / 21.9GB,40
1717890448,110.32%,3.613GiB / 125.8GiB,8.5GB / 27.9MB,377kB / 22GB,40
1717890450,16.19%,3.619GiB / 125.8GiB,8.51GB / 28MB,377kB / 22GB,40
1717890452,135.38%,3.624GiB / 125.8GiB,8.51GB / 28.1MB,377kB / 22GB,40
1717890454,9.21%,3.63GiB / 125.8GiB,8.51GB / 28.1MB,377kB / 22GB,40
1717890456,10.40%,3.637GiB / 125.8GiB,8.52GB / 28.2MB,377kB / 22.1GB,40
1717890458,220.77%,3.643GiB / 125.8GiB,8.53GB / 28.3MB,377kB / 22.1GB,40
1717890460,124.34%,3.648GiB / 125.8GiB,8.54GB / 28.4MB,377kB / 22.2GB,40
1717890462,175.31%,3.654GiB / 125.8GiB,8.54GB / 28.4MB,377kB / 22.2GB,40
1717890464,210.08%,3.659GiB / 125.8GiB,8.55GB / 28.5MB,377kB / 22.2GB,40
1717890466,161.23%,3.663GiB / 125.8GiB,8.56GB / 28.6MB,377kB / 22.3GB,40
1717890468,127.61%,3.669GiB / 125.8GiB,8.57GB / 28.7MB,377kB / 22.3GB,40
1717890470,96.59%,3.675GiB / 125.8GiB,8.57GB / 28.7MB,377kB / 22.3GB,41
1717890472,38.42%,3.688GiB / 125.8GiB,8.58GB / 28.8MB,377kB / 22.4GB,41
1717890474,84.20%,3.716GiB / 125.8GiB,8.59GB / 28.9MB,377kB / 22.4GB,41
1717890476,145.81%,3.736GiB / 125.8GiB,8.6GB / 29MB,377kB / 22.4GB,41
1717890478,95.14%,3.753GiB / 125.8GiB,8.61GB / 29.1MB,377kB / 22.5GB,41
1717890480,171.47%,3.774GiB / 125.8GiB,8.61GB / 29.2MB,377kB / 22.5GB,41
1717890482,157.79%,3.779GiB / 125.8GiB,8.62GB / 29.2MB,377kB / 22.6GB,41
1717890484,3.54%,3.78GiB / 125.8GiB,8.62GB / 29.3MB,377kB / 22.8GB,41
1717890486,2.67%,3.781GiB / 125.8GiB,8.62GB / 29.3MB,377kB / 22.9GB,41
1717890488,81.66%,3.782GiB / 125.8GiB,8.63GB / 29.3MB,377kB / 23.1GB,41
