TPM,time
6,0
7098,10
124614,20
129954,30
137892,40
149646,50
145818,60
41358,70
120738,80
156396,90
167622,100
152550,110
157638,120
151140,130
153468,140
166380,150
39390,160
153294,170
173286,180
152880,190
141726,200
169488,210
159318,220
156630,230
163482,240
30594,250
130266,260
191274,270
141408,280
161670,290
152538,300
146016,310
149238,320
153732,330
54852,340
111366,350
144168,360
146778,370
152736,380
140178,390
148680,400
174876,410
154608,420
105828,430
41592,440
182670,450
131442,460
156828,470
138348,480
176448,490
150294,500
148926,510
139068,520
60522,530
147594,540
163392,550
150990,560
144816,570
149502,580
152460,590
177390,600
105060,610
27174,620
34440,630
