PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1482488,0.954ms,2.924ms,1362.202ms,4335823.103ms,7.721ms,5.363ms,2.619ms,3239.907,90.511%
PAYMENT,1482366,0.462ms,1.619ms,1423.701ms,2400603.970ms,5.194ms,2.165ms,1.466ms,3876.156,50.113%
SLEV,148694,1.309ms,10.128ms,9402.387ms,1506004.189ms,26.992ms,17.327ms,3.733ms,103610.470,31.438%
DELIVERY,148382,2.066ms,5.326ms,202.948ms,790409.322ms,10.973ms,8.762ms,4.924ms,2707.276,16.500%
OSTAT,147222,0.388ms,1.130ms,16.183ms,166429.774ms,1.789ms,1.598ms,1.101ms,275.662,3.474%
