TPM,time
6,0
46662,10
164406,20
123270,30
108666,40
23886,50
97590,60
126912,70
132510,80
119964,90
139458,100
134514,110
142488,120
106506,130
100698,140
97698,150
96084,160
20454,170
100056,180
89250,190
85884,200
88524,210
93108,220
90252,230
83856,240
85950,250
84000,260
123174,270
132156,280
17286,290
127836,300
134304,310
135876,320
127302,330
148146,340
124152,350
124110,360
141630,370
140430,380
113202,390
92352,400
69234,410
97806,420
117324,430
101700,440
98292,450
84114,460
100434,470
104940,480
109416,490
108918,500
93738,510
100968,520
27882,530
107430,540
93366,550
87540,560
94194,570
89580,580
101646,590
91272,600
78972,610
72924,620
55446,630
