TPM,time
74430,0
156690,10
181992,20
191694,30
185154,40
190356,50
193122,60
192060,70
193020,80
185166,90
130230,100
176946,110
185718,120
184998,130
181050,140
185670,150
189216,160
141888,170
177300,180
181320,190
185262,200
142050,210
118518,220
102816,230
113250,240
110574,250
102126,260
99792,270
93954,280
88704,290
84066,300
121320,310
136092,320
104910,330
100674,340
106224,350
101646,360
99894,370
101574,380
101124,390
112710,400
110382,410
108186,420
114024,430
110808,440
114258,450
102660,460
116094,470
111726,480
115932,490
107778,500
110298,510
115158,520
108474,530
113172,540
114180,550
113136,560
115926,570
113568,580
116484,590
111108,600
115656,610
108618,620
123816,630
103806,640
119868,650
112008,660
109032,670
106302,680
92088,690
86130,700
55392,710
1548,720
