TPM,time
5700,0
91632,10
101988,20
104856,30
99180,40
117486,50
113982,60
115782,70
105504,80
117948,90
117168,100
120162,110
108522,120
127290,130
115896,140
125700,150
119304,160
132390,170
123498,180
121422,190
124812,200
116268,210
128628,220
121980,230
116700,240
121044,250
113724,260
106314,270
103836,280
94452,290
85962,300
79890,310
82674,320
80640,330
79362,340
73488,350
74100,360
68316,370
65964,380
69510,390
66900,400
63798,410
61782,420
61266,430
62022,440
59274,450
60372,460
63252,470
62826,480
58974,490
55428,500
56052,510
58356,520
60054,530
58176,540
50640,550
63066,560
98946,570
107346,580
106860,590
112206,600
108366,610
115416,620
116154,630
90876,640
103962,650
107556,660
123204,670
132684,680
134496,690
137064,700
139992,710
98904,720
