TPM,time
0,0
108762,10
182844,20
178956,30
176214,40
178230,50
146802,60
178554,70
71082,80
68538,90
61704,100
55674,110
52734,120
27012,130
122730,140
179454,150
183990,160
174042,170
130308,180
152922,190
159480,200
139614,210
164964,220
141888,230
122100,240
107886,250
109248,260
109680,270
72054,280
45312,290
40956,300
41592,310
43104,320
44706,330
51186,340
155112,350
160146,360
142206,370
164538,380
168618,390
134424,400
168966,410
159318,420
170412,430
182742,440
132678,450
140964,460
137316,470
130668,480
127008,490
113082,500
107358,510
109260,520
78996,530
106146,540
130950,550
146328,560
146622,570
142476,580
166608,590
157194,600
149526,610
163488,620
143862,630
163692,640
147486,650
164814,660
173532,670
172674,680
143388,690
133848,700
147372,710
34068,720
