TPM,time
0,0
38472,5
124836,10
142560,15
106416,20
159372,25
143520,30
148080,35
129852,40
163176,45
165972,50
167100,55
144696,60
127488,65
132420,70
137976,75
126312,80
120972,85
127368,90
121752,95
92424,100
87816,105
94896,110
98616,115
92388,120
107580,125
102756,130
94068,135
96336,140
107568,145
110088,150
87960,155
90660,160
91920,165
98964,170
86028,175
88296,180
81348,185
88416,190
92160,195
95988,200
77724,205
91608,210
99276,215
102360,220
107160,225
111012,230
97536,235
101568,240
85392,245
86952,250
97944,255
102876,260
106236,265
118956,270
102360,275
89364,280
103488,285
108828,290
82464,295
86124,300
98376,305
107184,310
98532,315
86292,320
78816,325
77160,330
89004,335
87672,340
85572,345
73176,350
75876,355
55248,360
