TPM,time
0,0
60732,5
170244,10
168912,15
184380,20
201300,25
198720,30
154104,35
164412,40
189252,45
185196,50
185664,55
194040,60
164472,65
160800,70
172968,75
187308,80
205872,85
176508,90
171216,95
179496,100
179232,105
176784,110
100620,115
63840,120
68736,125
68628,130
62280,135
58548,140
61788,145
56400,150
55608,155
67824,160
75168,165
78084,170
81240,175
104400,180
145680,185
161616,190
159096,195
169764,200
156660,205
166272,210
168828,215
172116,220
172752,225
169440,230
174048,235
176412,240
179532,245
176616,250
166596,255
165228,260
160140,265
128292,270
75528,275
87756,280
146268,285
169848,290
168984,295
155424,300
137028,305
153132,310
143964,315
144888,320
134616,325
132480,330
127536,335
119352,340
118128,345
110292,350
110916,355
76224,360
6192,365
