TPM,time
0,0
5874,10
7410,20
8022,30
6438,40
6630,50
4758,60
4146,70
6870,80
7248,90
6618,100
6900,110
8922,120
13392,130
18276,140
16824,150
20088,160
13920,170
9126,180
7512,190
9978,200
12162,210
12318,220
16782,230
16710,240
17046,250
17364,260
27750,270
7680,280
9726,290
8850,300
11154,310
12078,320
13938,330
15864,340
14916,350
17892,360
19842,370
24624,380
7560,390
9216,400
10200,410
11910,420
13578,430
13638,440
16494,450
14658,460
18066,470
20454,480
23562,490
7770,500
9330,510
9300,520
11400,530
13080,540
14070,550
16428,560
15294,570
18576,580
18096,590
28596,600
5856,610
6972,620
3672,630
