TPM,time
13068,0
21672,10
16338,20
28632,30
37452,40
29412,50
19602,60
21288,70
21306,80
23976,90
30342,100
42726,110
36294,120
39258,130
42948,140
43578,150
48330,160
47190,170
47352,180
49662,190
54432,200
52014,210
48756,220
48354,230
59190,240
73794,250
80238,260
83166,270
59076,280
33282,290
67230,300
14850,310
34350,320
27306,330
32766,340
33702,350
38280,360
39390,370
42042,380
44352,390
40380,400
37026,410
46710,420
57678,430
53328,440
54846,450
64446,460
61080,470
67260,480
58992,490
55812,500
69132,510
62226,520
64704,530
56748,540
63864,550
72126,560
65100,570
63390,580
65616,590
60786,600
35670,610
11496,620
3246,630
