PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,110878,7.940ms,41.647ms,601.555ms,4617821.452ms,185.014ms,117.064ms,25.923ms,37722.835,94.857%
PAYMENT,111510,3.648ms,40.858ms,694.689ms,4556149.122ms,184.261ms,111.256ms,25.670ms,37865.613,93.590%
DELIVERY,11492,8.439ms,41.939ms,594.691ms,481966.603ms,185.442ms,113.466ms,26.136ms,37530.521,9.900%
SLEV,11260,1.875ms,4.696ms,393.638ms,52883.991ms,5.941ms,5.377ms,4.464ms,8210.335,1.086%
OSTAT,11244,0.487ms,0.904ms,3.826ms,10168.099ms,1.520ms,1.253ms,0.856ms,201.377,0.209%
