TPM,time
6,0
70626,10
210144,20
191088,30
154266,40
180870,50
196068,60
62664,70
218898,80
197616,90
229500,100
200754,110
197724,120
193068,130
219216,140
103752,150
126600,160
190056,170
192150,180
217902,190
187074,200
207726,210
183066,220
207720,230
27924,240
219900,250
178236,260
205776,270
198132,280
174516,290
219996,300
194550,310
184614,320
49680,330
203208,340
181956,350
210294,360
186846,370
177660,380
208218,390
174396,400
142848,410
78270,420
149958,430
185382,440
131370,450
188472,460
162210,470
172350,480
151080,490
99060,500
109566,510
121128,520
170118,530
127710,540
150360,550
135066,560
146448,570
145386,580
22062,590
139776,600
160350,610
9498,620
