TPM,time
6,0
42648,10
201456,20
208764,30
211272,40
197358,50
195012,60
189822,70
52614,80
201348,90
191286,100
197700,110
202050,120
180696,130
189558,140
193878,150
156570,160
87438,170
196374,180
193578,190
175638,200
195090,210
189672,220
187962,230
188544,240
89970,250
165312,260
202338,270
200994,280
208122,290
208680,300
195828,310
190296,320
170748,330
70662,340
193872,350
201936,360
194454,370
190566,380
196470,390
208638,400
199308,410
58014,420
196374,430
184026,440
181572,450
204996,460
200850,470
185970,480
183048,490
97458,500
133818,510
209130,520
194340,530
189954,540
209418,550
183624,560
193734,570
137886,580
119880,590
193956,600
53688,610
