TPM,time
36,0
238938,10
342684,20
346242,30
118716,40
291426,50
358284,60
366684,70
339726,80
354444,90
343788,100
33606,110
315558,120
137118,130
211236,140
221394,150
135654,160
189678,170
39060,180
314628,190
90804,200
316872,210
47244,220
275214,230
70014,240
230784,250
219438,260
84888,270
340734,280
18408,290
321486,300
141822,310
179076,320
216786,330
130632,340
278664,350
13416,360
306198,370
231210,380
93288,390
184392,400
35970,410
229404,420
45594,430
275184,440
95820,450
232758,460
205632,470
195528,480
337374,490
68076,500
242148,510
152376,520
180738,530
191508,540
152874,550
306948,560
15720,570
261702,580
68700,590
241020,600
2586,610
