TPM,time
0,0
19908,10
139050,20
222870,30
221916,40
221346,50
224784,60
218754,70
221220,80
219030,90
222762,100
219900,110
219918,120
222702,130
222096,140
223506,150
225150,160
218238,170
222582,180
223926,190
224106,200
223692,210
223308,220
125838,230
34554,240
214836,250
223992,260
56544,270
174726,280
228114,290
225732,300
225810,310
227130,320
224004,330
225960,340
226050,350
223968,360
220458,370
221682,380
222804,390
223278,400
188790,410
40128,420
220554,430
220410,440
225756,450
216846,460
217584,470
220086,480
221874,490
222792,500
226608,510
225678,520
214848,530
213432,540
222606,550
217848,560
219096,570
222996,580
212514,590
214056,600
22980,610
