TPM,time
36,0
203532,10
296106,20
302886,30
42444,40
256110,50
87828,60
229026,70
118980,80
159144,90
148260,100
115692,110
192804,120
62124,130
220218,140
39036,150
208788,160
83076,170
207786,180
103434,190
170916,200
129822,210
122088,220
209622,230
50160,240
239484,250
43482,260
166476,270
40536,280
186282,290
96438,300
138822,310
122736,320
88428,330
130524,340
32004,350
209754,360
24558,370
166752,380
60762,390
155040,400
71088,410
150222,420
114324,430
119160,440
125568,450
50466,460
199464,470
29862,480
143376,490
61128,500
130332,510
75690,520
74508,530
124470,540
91692,550
155244,560
23424,570
168060,580
32148,590
206256,600
58224,610
9174,620
