TPM,time
14952,0
214608,10
195618,20
256428,30
259980,40
278040,50
263790,60
254730,70
285138,80
108576,90
277290,100
275094,110
280524,120
234882,130
230034,140
234162,150
184620,160
151758,170
112884,180
197142,190
168366,200
153978,210
183684,220
147306,230
141912,240
132138,250
59802,260
164028,270
222246,280
242040,290
240642,300
134130,310
237300,320
272310,330
194964,340
141804,350
225090,360
272856,370
282930,380
223824,390
260418,400
207168,410
260148,420
113994,430
219894,440
226818,450
245844,460
215088,470
256068,480
246762,490
281640,500
235422,510
162150,520
230652,530
248730,540
241992,550
269520,560
212790,570
254988,580
234834,590
179682,600
