Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs,VirtuaUsers
0,0.49,0.00,12.9GB / 64.3MB,0.00,9,8
0,0.84,0.04,12.9GB / 64.4MB,2.20,13,8
0,0.61,0.06,12.9GB / 64.5MB,2.30,16,8
0,1.25,0.07,12.9GB / 64.5MB,2.40,16,8
0,3.14,0.10,12.9GB / 64.8MB,2.80,16,8
0,2.03,0.13,12.9GB / 65MB,3.20,16,8
0,2.22,0.16,12.9GB / 65.3MB,3.50,16,8
0,8.00,0.26,12.9GB / 66.3MB,4.10,16,8
0,7.70,0.33,12.9GB / 67.3MB,4.40,16,8
0,8.33,0.37,12.9GB / 68.4MB,5.30,16,8
0,8.23,0.41,12.9GB / 69.6MB,5.60,16,8
0,8.15,0.43,12.9GB / 70.9MB,5.90,16,8
0,8.50,0.45,12.9GB / 72.1MB,6.50,16,8
0,8.21,0.46,12.9GB / 73.3MB,6.80,16,8
0,8.19,0.47,12.9GB / 74.6MB,7.10,16,8
0,8.16,0.48,12.9GB / 75.9MB,7.20,16,8
1,8.11,0.49,12.9GB / 77.2MB,7.90,16,8
1,8.08,0.50,12.9GB / 78.4MB,8.20,16,8
1,8.11,0.51,12.9GB / 79.6MB,8.40,16,8
1,8.39,0.52,12.9GB / 80.9MB,8.90,16,8
1,8.38,0.53,12.9GB / 82.1MB,9.40,17,8
1,8.45,0.54,12.9GB / 83.4MB,9.60,17,8
1,8.39,0.58,12.9GB / 84.6MB,9.80,17,8
1,8.31,0.64,12.9GB / 85.8MB,10.60,17,8
1,8.32,0.70,12.9GB / 87MB,10.90,17,8
1,8.38,0.76,12.9GB / 88.3MB,11.10,17,8
1,8.54,0.82,12.9GB / 89.6MB,11.80,17,8
1,8.33,0.87,12.9GB / 90.9MB,12.20,17,8
1,8.30,0.93,12.9GB / 92.1MB,12.50,17,8
1,8.33,0.99,12.9GB / 93.4MB,12.70,17,8
1,8.37,1.05,12.9GB / 94.6MB,13.50,17,8
1,8.27,1.11,12.9GB / 95.8MB,13.90,17,8
1,8.24,1.17,13GB / 97.1MB,14.10,17,8
1,8.72,1.23,13GB / 98.4MB,15.00,17,8
1,8.34,1.29,13GB / 99.6MB,15.30,17,8
1,8.35,1.34,13GB / 101MB,15.50,17,8
1,8.35,1.40,13GB / 102MB,15.70,17,8
1,8.36,1.46,13GB / 103MB,16.70,17,8
1,8.35,1.51,13GB / 104MB,17.00,17,8
1,8.29,1.57,13GB / 106MB,17.20,17,8
1,8.44,1.62,13GB / 107MB,17.90,17,8
1,8.37,1.68,13GB / 108MB,18.20,17,8
1,8.24,1.74,13GB / 110MB,18.40,17,8
1,8.64,1.79,13GB / 111MB,19.10,17,8
1,8.37,1.85,13GB / 112MB,19.60,17,8
2,8.35,1.91,13GB / 113MB,19.90,17,8
2,8.33,1.96,13GB / 115MB,20.10,17,8
2,8.39,2.02,13GB / 116MB,20.90,17,8
2,8.36,2.08,13GB / 117MB,21.20,17,8
2,8.31,2.14,13GB / 118MB,21.50,17,8
2,8.79,2.20,13GB / 120MB,22.40,18,8
2,8.46,2.25,13GB / 121MB,22.70,18,8
2,8.48,2.30,13GB / 122MB,22.90,18,8
2,8.53,2.35,13GB / 124MB,23.10,18,8
2,8.52,2.47,13GB / 125MB,24.10,18,8
2,8.51,2.56,13GB / 126MB,24.40,18,8
2,8.66,2.65,13GB / 127MB,24.60,18,8
2,8.74,2.73,13GB / 129MB,25.40,18,8
2,8.70,2.82,13GB / 130MB,25.70,18,8
2,8.87,2.93,13GB / 131MB,26.20,18,8
2,8.75,3.03,13GB / 132MB,26.70,18,8
2,8.44,3.05,13GB / 134MB,26.90,18,8
2,8.77,3.06,13GB / 135MB,27.70,18,8
2,8.41,3.07,13GB / 136MB,28.00,18,8
2,8.24,3.08,13GB / 137MB,28.30,18,8
2,8.54,3.09,13GB / 139MB,29.10,18,8
2,8.34,3.10,13GB / 140MB,29.50,18,8
2,8.42,3.12,13GB / 141MB,29.70,18,8
2,8.49,3.13,13GB / 142MB,30.60,18,8
2,8.52,3.14,13GB / 144MB,30.80,18,8
2,8.48,3.16,13GB / 145MB,31.00,18,8
2,8.48,3.17,13GB / 146MB,31.90,18,8
2,8.41,3.19,13GB / 148MB,32.20,18,8
2,8.43,3.20,13GB / 149MB,32.40,18,8
2,8.40,3.22,13GB / 150MB,33.30,18,8
3,8.69,3.23,13GB / 152MB,33.60,18,8
