PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1191962,1.009ms,7.945ms,612.715ms,9469552.616ms,73.195ms,30.872ms,3.749ms,145255.804,98.179%
SLEV,118834,1.109ms,37.129ms,987.835ms,4412160.696ms,420.287ms,238.804ms,3.280ms,879126.935,45.745%
PAYMENT,1193592,0.499ms,2.516ms,787.780ms,3002781.517ms,28.899ms,5.084ms,1.416ms,64578.974,31.132%
DELIVERY,119114,2.834ms,16.525ms,1143.178ms,1968402.514ms,118.642ms,61.958ms,8.259ms,252793.990,20.408%
OSTAT,119346,0.350ms,1.471ms,529.604ms,175586.879ms,10.744ms,3.719ms,0.857ms,37460.045,1.820%
