TPM,time
18,0
149472,10
255978,20
198708,30
141456,40
183366,50
78288,60
162342,70
63606,80
231450,90
86964,100
187596,110
97668,120
165984,130
132120,140
128586,150
152160,160
120624,170
202344,180
92856,190
198882,200
87078,210
205338,220
95520,230
138336,240
115464,250
119694,260
154854,270
83298,280
198546,290
53022,300
229140,310
56454,320
181164,330
57822,340
162576,350
116688,360
107172,370
167430,380
90852,390
202434,400
73914,410
191418,420
81210,430
218766,440
92358,450
215352,460
96186,470
156498,480
116502,490
138792,500
111456,510
56778,520
223542,530
56910,540
201600,550
69666,560
158736,570
151650,580
164718,590
133590,600
79026,610
113544,620
