TPM,time
24,0
249738,10
375258,20
383520,30
171246,40
329454,50
390588,60
370770,70
124944,80
315174,90
385128,100
378546,110
386664,120
368412,130
93522,140
354132,150
246990,160
191814,170
281868,180
128922,190
255648,200
106380,210
344646,220
135480,230
276414,240
248622,250
168120,260
280968,270
84372,280
339960,290
41982,300
331104,310
60354,320
293526,330
146970,340
234480,350
246324,360
181896,370
262266,380
71256,390
367938,400
45420,410
296622,420
120570,430
219576,440
126600,450
120330,460
129342,470
102984,480
202242,490
56880,500
283146,510
52128,520
273432,530
103236,540
137658,550
83544,560
137976,570
119406,580
92406,590
182712,600
24918,610
8946,620
