TPM,time
6,0
46050,10
164502,20
182490,30
180462,40
192858,50
204696,60
186096,70
179940,80
201582,90
179628,100
183312,110
188034,120
166224,130
150480,140
145170,150
123570,160
134724,170
121482,180
148464,190
182646,200
188418,210
192798,220
177372,230
190734,240
178410,250
183396,260
179376,270
182136,280
172410,290
185958,300
182166,310
188874,320
179760,330
182964,340
191430,350
181146,360
174264,370
184614,380
192714,390
192516,400
185160,410
184308,420
201678,430
172986,440
187722,450
186468,460
188172,470
181836,480
177420,490
188598,500
187854,510
178230,520
180090,530
189216,540
203886,550
175602,560
174978,570
192516,580
188436,590
75114,600
