TPM,time
42,0
60360,10
110022,20
120078,30
100062,40
139224,50
132558,60
150390,70
159324,80
166014,90
164178,100
134898,110
133458,120
127608,130
140220,140
129930,150
144684,160
138054,170
124470,180
122466,190
119388,200
111792,210
106164,220
103524,230
85566,240
82272,250
89196,260
73602,270
63750,280
73368,290
85374,300
94566,310
104394,320
130494,330
144378,340
142536,350
151356,360
131520,370
137754,380
144672,390
152796,400
150126,410
155076,420
142728,430
131106,440
134256,450
142452,460
149886,470
153822,480
152706,490
133140,500
146538,510
147246,520
155772,530
154746,540
149724,550
146556,560
114768,570
113508,580
112788,590
98910,600
