TPM,time
6,0
15792,10
77190,20
98226,30
118380,40
129804,50
133986,60
126672,70
121014,80
129288,90
136794,100
141912,110
129114,120
106524,130
108078,140
110022,150
102150,160
76746,170
79686,180
74448,190
74340,200
75570,210
74412,220
76644,230
81336,240
87324,250
90726,260
85254,270
85014,280
89412,290
92772,300
99480,310
125250,320
112800,330
120654,340
112968,350
119130,360
124548,370
107514,380
121560,390
123738,400
132282,410
128544,420
105768,430
115122,440
106806,450
111786,460
107190,470
107958,480
104568,490
99408,500
100008,510
97560,520
94836,530
130008,540
128538,550
123642,560
100392,570
108588,580
112044,590
121656,600
78834,610
