TPM,time
30,0
3228,10
12870,20
16026,30
12282,40
5124,50
3030,60
3252,70
3678,80
3336,90
4020,100
5412,110
7890,120
6030,130
4152,140
4362,150
4380,160
4350,170
4458,180
8964,190
4668,200
9954,210
9846,220
2352,230
8004,240
4770,250
2598,260
5346,270
5508,280
2994,290
12402,300
11508,310
6132,320
3144,330
9708,340
6792,350
6258,360
6840,370
10662,380
7290,390
7230,400
11034,410
11532,420
12090,430
8202,440
16488,450
10872,460
13110,470
14388,480
9696,490
10302,500
10500,510
8934,520
8220,530
2454,540
5496,550
7902,560
6324,570
5196,580
9090,590
7752,600
8040,610
10170,620
4026,630
6270,640
6264,650
6732,660
6852,670
5748,680
4800,690
4590,700
2940,710
5106,720
6000,730
4968,740
4050,750
4200,760
4644,770
4092,780
2118,790
1890,800
2094,810
636,820
