TPM,time
54,0
11778,10
16956,20
9810,30
7284,40
3924,50
3432,60
4440,70
6336,80
2802,90
7944,100
3300,110
6264,120
3132,130
4926,140
3342,150
6288,160
5730,170
3402,180
4284,190
6366,200
5586,210
3492,220
5034,230
5544,240
6498,250
6330,260
7404,270
8022,280
8994,290
7128,300
5832,310
11118,320
6816,330
8652,340
6036,350
8850,360
6144,370
7944,380
3858,390
6252,400
6360,410
7560,420
5736,430
4206,440
4074,450
5262,460
6402,470
2916,480
7578,490
3834,500
4920,510
6570,520
6768,530
6168,540
2460,550
4068,560
3798,570
4398,580
5754,590
7554,600
8760,610
6294,620
6828,630
5154,640
3468,650
312,660
