PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,116708,7.492ms,39.783ms,616.521ms,4643071.668ms,169.578ms,109.492ms,25.689ms,36732.716,95.037%
PAYMENT,115804,3.682ms,39.473ms,616.679ms,4571172.002ms,169.344ms,109.426ms,25.564ms,35807.039,93.566%
DELIVERY,11768,7.660ms,40.343ms,616.397ms,474756.837ms,169.066ms,110.903ms,25.807ms,36295.732,9.718%
SLEV,11220,2.176ms,4.449ms,11.512ms,49920.136ms,5.872ms,5.321ms,4.445ms,573.670,1.022%
OSTAT,11764,0.387ms,0.895ms,5.667ms,10532.507ms,1.491ms,1.251ms,0.840ms,206.770,0.216%
