PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,231894,4.588ms,83.598ms,1321.432ms,19385885.527ms,468.546ms,259.392ms,54.978ms,87039.850,97.427%
NEWORD,231928,8.561ms,79.226ms,1303.969ms,18374826.488ms,454.378ms,238.951ms,53.038ms,82207.719,92.346%
DELIVERY,23332,14.342ms,79.205ms,1251.342ms,1848022.667ms,445.742ms,252.526ms,52.880ms,82075.979,9.288%
SLEV,23224,1.986ms,4.727ms,25.894ms,109796.589ms,6.326ms,5.795ms,4.689ms,800.535,0.552%
OSTAT,22926,0.511ms,1.045ms,7.607ms,23964.644ms,1.916ms,1.490ms,0.993ms,279.255,0.120%
