TPM,time
6,0
2712,10
14334,20
15702,30
11982,40
8292,50
10146,60
6930,70
4896,80
5472,90
2724,100
5400,110
7284,120
7476,130
8388,140
10392,150
10710,160
5088,170
6378,180
5370,190
8520,200
4602,210
4806,220
5538,230
7080,240
4878,250
6306,260
5700,270
3552,280
6828,290
6792,300
5982,310
4134,320
8004,330
5016,340
3720,350
7596,360
6138,370
8094,380
7170,390
7116,400
7554,410
7014,420
5634,430
7644,440
8682,450
7446,460
7260,470
7932,480
10050,490
8952,500
9954,510
7170,520
8268,530
9708,540
9618,550
9810,560
8748,570
9882,580
4668,590
4152,600
6048,610
6618,620
4386,630
4122,640
4482,650
3732,660
2634,670
