PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,733688,1.110ms,3.939ms,279.268ms,2890421.284ms,15.701ms,6.231ms,3.222ms,56235.233,100.233%
PAYMENT,732502,0.543ms,1.672ms,267.526ms,1224712.381ms,4.679ms,2.777ms,1.314ms,33058.645,42.470%
SLEV,73246,1.098ms,12.408ms,9994.023ms,908865.066ms,42.867ms,5.272ms,2.936ms,1959844.088,31.517%
DELIVERY,72892,1.591ms,7.418ms,241.968ms,540722.937ms,51.516ms,12.783ms,5.769ms,75558.101,18.751%
OSTAT,73064,0.365ms,0.940ms,121.889ms,68691.614ms,3.305ms,1.698ms,0.737ms,14069.108,2.382%
