PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,932716,1.045ms,37.044ms,7461.378ms,34551342.968ms,277.051ms,151.232ms,12.224ms,670522.100,91.083%
SLEV,93598,1.183ms,207.314ms,7890.192ms,19404144.269ms,898.657ms,626.859ms,144.689ms,2306220.866,51.153%
PAYMENT,933114,0.519ms,14.876ms,6403.740ms,13880860.713ms,182.054ms,71.492ms,3.070ms,482979.922,36.592%
DELIVERY,92936,1.283ms,80.679ms,4174.560ms,7497969.541ms,428.680ms,261.131ms,40.140ms,1067935.653,19.766%
OSTAT,93308,0.369ms,5.030ms,1045.035ms,469366.679ms,77.047ms,16.794ms,1.298ms,168242.818,1.237%
