PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,1106668,1.356ms,15.423ms,4159.810ms,17067676.445ms,129.946ms,69.615ms,5.132ms,321675.564,89.084%
SLEV,111394,1.214ms,97.649ms,4160.587ms,10877524.004ms,580.560ms,416.098ms,9.851ms,1515296.322,56.775%
PAYMENT,1108096,0.570ms,5.681ms,3565.537ms,6295331.924ms,72.451ms,19.664ms,1.818ms,186437.870,32.858%
DELIVERY,111078,1.004ms,31.584ms,1223.640ms,3508328.862ms,201.696ms,110.654ms,15.494ms,443051.860,18.312%
OSTAT,111196,0.350ms,2.843ms,427.576ms,316123.178ms,34.088ms,8.556ms,1.064ms,77400.503,1.650%
