PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,633578,1.233ms,7.382ms,515.830ms,4677181.169ms,61.832ms,12.462ms,5.526ms,110108.994,96.356%
SLEV,64196,1.164ms,39.202ms,5587.783ms,2516624.509ms,231.326ms,116.053ms,15.153ms,2262948.724,51.846%
PAYMENT,635028,0.520ms,2.242ms,439.061ms,1423992.993ms,7.698ms,3.504ms,1.530ms,53564.894,29.336%
DELIVERY,63586,2.887ms,13.671ms,522.935ms,869320.466ms,70.442ms,29.541ms,10.584ms,135759.169,17.909%
OSTAT,63580,0.331ms,1.187ms,502.444ms,75476.616ms,5.213ms,3.175ms,0.734ms,36021.236,1.555%
