PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,889238,1.317ms,40.964ms,1987.395ms,36426392.512ms,281.388ms,164.207ms,16.271ms,610123.125,96.145%
SLEV,88574,1.176ms,233.946ms,1595.597ms,20721542.713ms,926.601ms,694.008ms,171.889ms,2297697.593,54.693%
PAYMENT,888870,0.581ms,11.355ms,2169.901ms,10093510.590ms,113.858ms,49.949ms,3.447ms,246244.352,26.641%
DELIVERY,88698,1.569ms,88.883ms,1199.748ms,7883732.015ms,421.131ms,267.246ms,50.770ms,916167.180,20.808%
OSTAT,88948,0.360ms,4.889ms,1397.639ms,434850.151ms,76.054ms,13.864ms,1.374ms,183370.366,1.148%
