PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,752460,1.383ms,24.130ms,1283.067ms,18157221.712ms,144.647ms,88.330ms,11.963ms,323452.587,94.693%
SLEV,75732,1.234ms,132.351ms,1667.814ms,10023214.785ms,718.551ms,439.979ms,91.020ms,1499419.461,52.273%
PAYMENT,753228,0.511ms,7.543ms,662.082ms,5681950.776ms,73.296ms,26.582ms,3.604ms,141944.180,29.632%
DELIVERY,75608,1.493ms,55.160ms,922.430ms,4170559.603ms,236.649ms,152.800ms,33.555ms,507052.244,21.750%
OSTAT,75420,0.334ms,2.852ms,568.556ms,215101.324ms,27.466ms,7.821ms,1.282ms,74999.091,1.122%
