TPM,time
6,0
67230,10
79794,20
138258,30
136482,40
149100,50
157908,60
132138,70
147804,80
131130,90
125886,100
138558,110
155736,120
31998,130
144642,140
130992,150
146880,160
147186,170
144666,180
146652,190
129540,200
129654,210
122040,220
41382,230
124614,240
131742,250
124464,260
116508,270
126516,280
111438,290
116628,300
109758,310
116424,320
24138,330
116682,340
133572,350
142206,360
154452,370
134838,380
138720,390
142698,400
137508,410
153480,420
50364,430
128238,440
153558,450
130614,460
137712,470
136152,480
125262,490
112794,500
124674,510
120282,520
98814,530
64806,540
117606,550
108120,560
116676,570
115224,580
116646,590
110184,600
33432,610
