PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,61022,7.032ms,607.495ms,8557.518ms,37070600.822ms,6346.340ms,3417.224ms,136.369ms,1243437.424,97.030%
NEWORD,60030,8.257ms,597.572ms,8372.336ms,35872271.986ms,6121.687ms,3363.143ms,132.373ms,1222892.305,93.894%
DELIVERY,6136,17.049ms,654.609ms,8371.792ms,4016683.277ms,6410.603ms,3699.445ms,137.468ms,1284436.261,10.513%
SLEV,6216,1.969ms,59.096ms,5378.487ms,367342.789ms,1533.795ms,147.611ms,9.409ms,310102.871,0.961%
OSTAT,6252,0.607ms,9.236ms,1404.752ms,57746.875ms,269.145ms,3.855ms,1.393ms,67156.756,0.151%
