PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
PAYMENT,104724,4.348ms,185.610ms,7094.227ms,19437920.135ms,3346.190ms,328.017ms,91.221ms,511611.771,94.820%
NEWORD,105118,8.443ms,182.136ms,7062.880ms,19145839.050ms,3408.786ms,318.434ms,86.508ms,520675.212,93.395%
DELIVERY,10468,17.453ms,181.002ms,7031.328ms,1894733.338ms,3301.076ms,315.907ms,86.873ms,523083.607,9.243%
SLEV,10766,1.576ms,12.577ms,1534.110ms,135404.842ms,142.662ms,10.889ms,5.960ms,65789.697,0.661%
OSTAT,10332,0.584ms,5.442ms,1530.764ms,56228.158ms,23.175ms,1.949ms,1.090ms,54460.834,0.274%
