PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,35230,8.771ms,137.134ms,9679.004ms,4831263.859ms,1150.863ms,318.063ms,83.484ms,302263.026,93.669%
PAYMENT,34704,13.024ms,136.691ms,9679.271ms,4743737.854ms,1252.296ms,318.080ms,83.557ms,290475.299,91.972%
DELIVERY,3568,16.809ms,143.288ms,9678.966ms,511253.703ms,1050.856ms,293.495ms,78.137ms,458937.664,9.912%
SLEV,3684,2.160ms,6.832ms,1531.544ms,25169.184ms,6.271ms,5.165ms,3.939ms,56798.941,0.488%
OSTAT,3382,0.563ms,6.503ms,1527.401ms,21994.420ms,109.859ms,1.540ms,0.933ms,65436.397,0.426%
