PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,684784,1.360ms,64.175ms,3621.956ms,43946217.730ms,417.803ms,223.878ms,27.371ms,888298.095,114.823%
PAYMENT,685392,0.562ms,18.808ms,4275.373ms,12891232.966ms,185.888ms,79.699ms,6.183ms,424965.966,33.682%
SLEV,69356,1.187ms,154.342ms,5397.829ms,10704561.943ms,894.219ms,559.287ms,95.217ms,2097626.091,27.969%
DELIVERY,68448,1.616ms,119.932ms,2587.451ms,8209077.671ms,568.325ms,299.859ms,91.968ms,1135042.724,21.449%
OSTAT,67948,0.315ms,7.402ms,811.609ms,502931.771ms,104.176ms,27.693ms,1.726ms,251553.461,1.314%
