PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,748590,1.277ms,26.963ms,1667.824ms,20184432.656ms,185.529ms,95.395ms,11.956ms,480941.954,105.201%
SLEV,75054,1.281ms,106.447ms,4031.988ms,7989298.173ms,682.840ms,362.383ms,60.673ms,1436218.268,41.640%
PAYMENT,752072,0.539ms,6.798ms,943.533ms,5112717.323ms,74.447ms,19.467ms,2.853ms,185999.375,26.647%
DELIVERY,75032,1.320ms,61.498ms,888.818ms,4614317.664ms,295.196ms,165.831ms,36.716ms,675665.782,24.050%
OSTAT,75656,0.364ms,3.904ms,691.286ms,295385.009ms,36.768ms,11.782ms,1.307ms,140685.700,1.540%
