PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,80008,8.375ms,515.536ms,7916.364ms,41247033.050ms,5688.963ms,3241.900ms,111.757ms,1143576.611,94.456%
PAYMENT,79690,4.705ms,499.455ms,7988.233ms,39801595.521ms,5668.657ms,3174.590ms,114.590ms,1109168.942,91.146%
DELIVERY,7960,19.679ms,549.815ms,7818.856ms,4376528.005ms,5763.591ms,3375.140ms,114.705ms,1184804.952,10.022%
SLEV,8090,1.846ms,33.421ms,4564.831ms,270380.311ms,588.287ms,16.814ms,8.774ms,232945.411,0.619%
OSTAT,8012,0.552ms,3.970ms,3177.588ms,31809.479ms,9.911ms,2.849ms,1.243ms,55693.377,0.073%
