PROC,CALLS,MIN,AVG,MAX,TOTAL,P99,P95,P50,SD,RATIO
NEWORD,33420,12.569ms,150.737ms,6249.873ms,5037656.762ms,1267.929ms,355.022ms,92.234ms,311253.597,99.075%
PAYMENT,33532,8.152ms,143.958ms,6290.139ms,4827209.042ms,1091.995ms,351.792ms,88.579ms,268588.072,94.937%
DELIVERY,3348,16.576ms,138.314ms,4577.178ms,463077.327ms,834.512ms,319.022ms,92.841ms,233626.576,9.107%
SLEV,3242,2.030ms,6.731ms,1116.639ms,21824.473ms,9.766ms,5.214ms,4.008ms,40027.992,0.429%
OSTAT,3258,0.521ms,5.920ms,1388.134ms,19290.252ms,57.435ms,1.472ms,0.923ms,61171.941,0.379%
